"","headlines","links","summary","body","date"
"21","Another medical worker killed in Jonglei state’s Duk County","https://www.sudanspost.com/another-medical-worker-killed-in-jonglei-states-duk-county/","Jonglei state Police Commissioner Major-General Joseph Mayen said Mabior Manyok Ader was found dead in his room in Duk last Monday, a few days after being arranged in customary court where he was allegedly found guilty of adultery.","Mabior Manyok Ader. [Photo via Facebook]JUBA – South Sudan authorities of the country’s restive Jonglei state are reporting that a medical worker has been killed in his room in the state’s Duk County days after a medical worker was killed in Akobo County.","August 3, 2021"
"22","South Sudan police officer with 3 nationalities on the run after stealing over $7 million","https://www.sudanspost.com/south-sudan-police-officer-with-3-nationalities-on-the-run-after-stealing-over-7-million/","In a letter dated July 16 and addressed to the ministry of foreign affairs and international cooperation, General Majak Akec, the Inspector General of South Sudan police, urged the ministry to extradite Taban Idro Kuei who is wanted on the misappropriation of funds and is believed to be in DR Congo.  ","South Sudan Police graduates taking oath at Juba National Stadium in 2018 [Photo via Eye Radio]JUBA – A South Sudanese police officer who also holds the Ugandan and Congolese nationalities is wanted by authorities in Juba for misappropriating at least $7 million before fleeing the country, according to the inspector general of police.","August 1, 2021"
"23","BREAKING | South Sudan minister Peter Mayen stabs wife, court orders his arrest  ","https://www.sudanspost.com/south-sudan-minister-peter-mayen-stabs-wife-court-orders-his-arrest/","A local court in South Sudan's Warrap state has issued an arrest warrant against the country's minister of humanitarian affairs and disaster management Peter Mayen Majongdit for stabbing his wife, a female footballer better known as Aluel Messi – almost to death.","Controversial OPP leader Peter Mayen [Photo via Facebook]JUBA – A local court in South Sudan’s Warrap state has issued an arrest warrant against the country’s minister of humanitarian affairs and disaster management Peter Mayen Majongdit for stabbing his wife, a female footballer better known as Aluel Messi – almost to death.","July 30, 2021"
"24","Tambura commissioner says over 40 dead bodies recovered after deadly communal violence","https://www.sudanspost.com/tambura-commissioner-says-over-40-dead-bodies-recovered-after-deadly-communal-violence/","The Commissioner of Tambura County of Western Equatoria state has said that at least 42 dead bodies have been recovered in several villages where violence has been ongoing throughout last month.","South Sudan map featuring Western Equatoria state. [Photo via Wikipedia]JUBA – The Commissioner of Tambura County of Western Equatoria state has said that at least 42 dead bodies have been recovered in several villages where violence has been ongoing throughout last month.","September 1, 2021"
"25","Army soldier shot dead following road ambush in Eastern Equatoria","https://www.sudanspost.com/army-soldier-shot-dead-following-road-ambush-in-eastern-equatoria/","Eastern Equatoria state police spokesman Major Justine Kleopus Takuru said the incident happened minutes after a vehicle left Kikilai Payam supposedly for Torit town through Ikotos County resulting in the death of the army soldier identified as Jok Okwal Dhieu.","Map of Eastern Equatoria state in red [Photo via Wikipedia]JUBA – A soldier belonging to South Sudan People’s Defense Forces (SSPDF) has been shot dead following a road ambush in an area in Budi County of Eastern Equatoria state by unidentified gunmen, authorities there have said.","September 1, 2021"
"26","Gatjiath Deng accuses unnamed ‘evil wishers’ of speculating his ‘false’ return to Juba","https://www.sudanspost.com/gatjiath-deng-accuses-unnamed-evil-wishers-of-speculating-his-false-return-to-juba/","The military spokesman of the Sudan People's Liberation Army in Opposition (SPLA-IO) Kitgwang faction led by former SPLA-IO chief of general staff General Simon Gatwech Dual has denied social media speculations that he has traveled to South Sudan's capital Juba to meet government officials.","SPLA-IO military spokesman William Gatjiath Deng [Photo by Sudans Post]JUBA – The military spokesman of the Sudan People’s Liberation Army in Opposition (SPLA-IO) Kitgwang faction led by former SPLA-IO chief of general staff General Simon Gatwech Dual has denied social media speculations that he has traveled to South Sudan’s capital Juba to meet government officials.","August 31, 2021"
"27","Juba’s Crown Hotel where Machar was ousted by VP Taban in 2016 catches fire","https://www.sudanspost.com/jubas-crown-hotel-were-machar-was-ousted-by-vp-taban-in-2016-catches-fire/","South Sudan capital Juba's Crown Hotel which was at the epicenter of the SPLM-IO split in July 2016 has caught fire, several eyewitnesses who were at the Hotel have told Sudans Post this morning.","Crown Hotel being caught by fire. [Photo via Facebook]JUBA – South Sudan capital Juba’s Crown Hotel which was at the epicenter of the SPLM-IO split in July 2016 has caught fire, several eyewitnesses who were at the Hotel have told Sudans Post this morning.","August 31, 2021"
"28","Ex-South Sudan youth minister James Makuach Teny joins Gen. Gatwech","https://www.sudanspost.com/ex-south-sudan-youth-minister-james-makuach-teny-joins-general-gatwech/","Speaking to Sudans Post from Kitgwang, Magenis, this morning, General William Gatjiath Deng, the spokesman of the SPLA-IO faction led by Gen. Gatwech said General Makuach Teny declared his intention to join the Kitgwang faction following his arrival at Magenis on Tuesday morning.","JUBA — South Sudan’s former Minister of Youth, Sports and Recreation General James Makuach Teny who left the main armed opposition group, SPLM-IO, in 2016 has joined the group’s Kitgwang faction led by former military chief General Simon Gatwech Dual, an opposition spokesman allied to Gatwech said.","August 31, 2021"
"29","Kiir vows profound measures to end insecurity","https://www.sudanspost.com/kiir-vows-profound-measures-to-end-insecurity/","South Sudan's President Salva Kiir Mayardit said he is considering taking profound measures to tackle the surge in banditry and criminal activities across the country.","South Sudan President Salva Kiir Mayardit speaking during an even at the state house at unknown date. [Photo by unknown]JUBA – South Sudan’s President Salva Kiir Mayardit said he is considering taking profound measures to tackle the surge in banditry and criminal activities across the country.","August 31, 2021"
"30","Gen. Gatwech’s group says Machar’s forces marching to attack Magenis","https://www.sudanspost.com/gen-gatwechs-group-says-machars-forces-marching-to-attack-magenis/","In a statement extended to Sudans Post this morning, Brigadier General William Gatjiath Deng, the SPLA-IO spokesman loyal to General Simon Gatwech Dual, said forces loyal to Machar under the direct command of the SPLA-IO spy chief General Yieh Dak are on their way to attack them.","JUBA — South Sudan’s main armed opposition group, SPLA-IO, faction led by General Simon Gatwech Dual has warned of imminent attack this morning by forces loyal to First Vice President Dr. Riek Machar Teny.","August 31, 2021"
"31","South Sudan fines traders for closing shops over looming protests","https://www.sudanspost.com/south-sudan-fines-traders-for-closing-shops-over-looming-protests/","South Sudan government has slapped traders who closed their shops yesterday because of planned protests with a 50,000 SSP fine saying the ""amount is payable with immediate effect on receipt of demand.""","Shops seen closed in Juba’s Libya Market [Photo by unknown]JUBA – South Sudan government has slapped traders who closed their shops yesterday because of planned protests with a 50,000 SSP fine saying the “amount is payable with immediate effect on receipt of demand.”","August 31, 2021"
"32","Sudan to hand over ex-president to ICC over war crimes","https://www.sudanspost.com/sudan-to-handover-ex-president-to-icc-over-war-crimes/","Bashir, 77, has been wanted by the ICC for more than a decade over charges of genocide, war crimes and crimes against humanity in the Sudanese region.","Sudanese president Omar el Bashir (left) speaks to President Salva Kiir Mayardit at peace negotiations in Khartoum in August 2018. [Photo by unknown]KHARTOUM – Sudan will hand longtime autocrat Omar al-Bashir to the International Criminal Court along with other officials wanted over the Darfur conflict, Foreign Minister Mariam al-Mahdi said on Wednesday.","August 11, 2021"
"33","Sudan ratifies Rome statute to become state member of the ICC","https://www.sudanspost.com/sudan-ratifies-rome-statute-to-become-state-member-of-the-icc/","The Sudanese government has announced that it has passed a bill to join the Rome Statute of the International Criminal Court (ICC), according to the country’s Prime Minister Abdullah Hamdok.","KHARTOUM — The Sudanese government has announced that it has passed a bill to join the Rome Statute of the International Criminal Court (ICC), according to the country’s Prime Minister Abdullah Hamdok. ","August 3, 2021"
"34","SPLM-North extends unilateral ceasefire for 6 months","https://www.sudanspost.com/splm-north-extends-unilateral-ceasefire-for-7-months/","In a statement extended to Sudans Post, leader of the SPLM-North Abdel Aziz Adam Al Hilu said the ceasefire extension was decided “as a gesture of goodwill towards a peaceful resolution of the Sudanese conflict, and in order to give the ongoing peace talks an opportunity for success.”","Leader of the SPLM-North faction General Abdel Aziz Adam al-Hilu speaking to the media in 2010 in Khartoum [Photo via al Ahram]JUBA/KHARTOUM – Sudanese opposition group, the Sudan People’s Liberation Movement/Army North (SPLM/SPLA-N) led by General Abdel Aziz Adam al Hilu has announced the extension of unilateral ceasefire for additional six months.","July 2, 2021"
"35","Sudan: IMF approves $2.5 billion debt relief","https://www.sudanspost.com/sudan-imf-approves-2-5-billion-debt-relief/","The International Monetary Fund approved a $2.5 billion extended credit facility for Sudan and said the nation is eligible for debt relief under an initiative for poor countries, a step toward helping it clear some of the estimated $60 billion it owes to foreign creditors.","Sudanese Prime Minister Abdalla Hamdok [Photo by AP]JUBA – The International Monetary Fund approved a $2.5 billion extended credit facility for Sudan and said the nation is eligible for debt relief under an initiative for poor countries, a step toward helping it clear some of the estimated $60 billion it owes to foreign creditors.","June 29, 2021"
"36","Omar al Bashir, other suspected war criminals to be handed over to ICC – Sudanese minister","https://www.sudanspost.com/omar-al-bashir-other-suspected-war-criminals-to-be-handed-over-to-icc-sudanese-minister/","Speaking to journalists during a press conference held in the capital Khartoum on Saturday, Buthaina Dinar, the Sudanese minister of federal affairs, said the government has come to a conclusion to hand over al Bashir and others wanted on war crimes to the ICC.","Sudan’s ousted president Omar al-Bashir answers procedural questions during his trial in Khartoum [Photo by AFP]JUBA – A senior Sudanese government official has said that the cabinet in a meeting on Saturday agreed to handover the country’s former president, Omar Hassan Ahmed al Bashir, and three unnamed other officials to the International Criminal Court.","June 26, 2021"
"37","Ethiopian army commander says Egyptian fighter jets cannot destroy dam","https://www.sudanspost.com/ethiopian-army-commander-says-egyptian-fighter-jets-cannot-destroy-dam/","General Buta Bachata Debele, the Director of the Engineering Department at the Ethiopian Ministry of Defense, made the remarks during an interview with the Russian TV channel RT and said his country does not seek to solve the GERD dispute militarily but is ready for it.","General Buta Bachata Debele, the Director of the Engineering Department at the Ethiopian Ministry of Defense speaking to RT Channel. [Photo screen grab from YouTube/RT]CAIRO – A senior army commander of the Ethiopian armed forces is saying that Egyptian army’s fighter jets does not have the capacity to destroy the Grand Renaissance Ethiopian Dam (GERD), saying his country is ready for all scenarios including military if Cairo choose to go for war.","June 26, 2021"
"38","South Sudan’s retired Archbishop Deng Bul receives award for peace efforts","https://www.sudanspost.com/south-sudans-retired-archbishop-deng-bul-receives-award-for-peace-efforts/","The Award was presented to the retired Archbishop by Dr. Justin Badi Arama, Primate of Episcopal Church of South Sudan in Juba on Wednesday.","Dr. Justin Badi Arama, Primate of Episcopal Church of South Sudan (left) presenting Hubert Walter Award to retired Archbishop, Daniel Deng Bul in Juba on Wednesday, 25 August 2021 [Photo by Awan Achiek/Sudans Post]JUBA – Former Primate of the Episcopal Church of South Sudan, Daniel Deng Bul, has received the Hubert Walter Award Reconciliation and Interfaith Cooperation for his outstanding contributions to the Church and society.","August 27, 2021"
"39","‘Ethnic profiling tearing apart’ Ethiopian society – UN chief","https://www.sudanspost.com/ethnic-profiling-tearing-apart-ethiopian-society-un-chief/","Guterres who was speaking before the United Nations Security Council (UNSC) yesterday praised the young people in Ethiopia, but warned that their energies are being diverted into paths of divisions with use of political rhetoric that divides the Ethiopian society.","UN Secretary-General Antonio Guterres. [Photo via Getty Images]NEW YORK, UNITED STATES – The United Nations Secretary-General Antonio Guterres has said that “inflammatory rhetoric and ethnic profiling” are tearing apart the Ethiopian society in an apparent shift from his firm stance in support for Ethiopian government’s assertion that it needs time to return the country to normalcy.","August 27, 2021"
"40","Kiir congratulates Ethiopia for ‘successful’ second filling of controversial mega dam","https://www.sudanspost.com/kiir-congratulates-ethiopia-for-successful-second-filling-of-controversial-mega-dam/","In a statement following the meeting, the Ethiopian foreign ministry said President Kiir congratulated the Ethiopian government for the recently concluded elections in which Dr. Abiy won by a landslide and also commend Abiy for the successful second filling of the GERD.","President Salva Kiir being received by Ethiopian Prime Minister Dr. Abiy Ahmed at Bole International Airport. [Photo by Ethiopian Press Agency]JUBA – South Sudan’s President Salva Kiir Mayardit has congratulated neighboring Ethiopia’s government on the successful second filling of the Grand Ethiopian Renaissance Dam (GERD) during his Thursday trip in which he was received at Bole International Airport by Prime Minister Dr. Abiy Ahmed along with other senior Ethiopian government officials.","August 27, 2021"
"41","South Sudan president to stand with Abiy against ‘terrorist’ TPLF","https://www.sudanspost.com/south-sudan-president-to-stand-with-abiy-against-terrorist-tplf/","Concluding a half-day visit to his country's eastern neighbor after a meeting with Ethiopian Prime Minister Abiy Ahmed, Salva Kiir condemned an attack by the Tigray People's Liberation Front (TPLF) that he said sparked a months-long conflict with the government, according to Ahmed's press secretary, Billene Seyoum.","President Salva Kiir being received by Ethiopian Prime Minister Dr. Abiy Ahmed at Bole International Airport. [Photo by Ethiopian Press Agency]ADDIS ABABA (AA) – The president of South Sudan on Thursday voiced support for Ethiopia in its conflict with ethnic Tigray rebels and what he called foreign interference in the Horn of Africa country.","August 27, 2021"
"42","2 terrorist suicide bombings kill 13 people outside Kabul airport","https://www.sudanspost.com/2-terrorist-suicide-bombings-kill-13-people-outside-kabul-airport/","One explosion went off in a crowd of people waiting to enter the airport, according to Adam Khan, an Afghan waiting nearby. He said several people appeared to have been killed or wounded, including some who lost body parts.","Stampede in Kabul airport as Afghans try to flee impending Taliban rule [Photo via Outlook India]KABUL, AFGHANISTAN (AP) — Two suicide bombers and gunmen targeted crowds massing near the Kabul airport Thursday, in the waning days of a massive airlift that has drawn thousands of people seeking to flee the Taliban takeover of Afghanistan. At least 13 people were killed and 15 wounded, Russian officials said.","August 26, 2021"
"43","Ex-Nigerian president becomes head of Cavendish University","https://www.sudanspost.com/ex-nigerian-president-becomes-head-of-cavendish-university/","Former Nigerian president Goodluck Jonathan will this Thursday be installed as the Cavendish University Chancellor.","Former Nigerian President Goodluck Jonathan during his swearing ceremony as vice-chancellor of the University of Cavendish. [Photo via Facebook]JUBA – Former Nigerian president Goodluck Jonathan will this Thursday be installed as the Cavendish University Chancellor.","August 26, 2021"
"44","South Sudan losses $ 1 billion under 2012-2015 letter of credit project","https://www.sudanspost.com/south-sudan-losses-1-billion-under-2012-2015-letter-of-credit-project/","The latest Auditor General’s report indicates that Letters of Credit (LC) issued by South Sudan’s government to various institutions to import commodities and try to stabilize prices were diverted to benefit some individuals.","South Sudan president, Salva Kiir Mayardit [Photo by unknown]JUBA – South Sudan has lost nearly $1 billion under Letter of Credit project issued for imports between 2012 and 2015, the latest Audit Report said.","August 16, 2021"
"45","Embattled Nilepet cashier ‘won’t be removed’ despite corruption allegations     ","https://www.sudanspost.com/embattled-nilepet-cashier-wont-be-removed-despite-corruption-allegations/","Nile Petroleum Corporation (Nilepet) cashier Ring Charles who is accused of squandering Nilepet staff's allowances for the last few months has allegedly threatened to take actions against staff members leaking out information to the media and said he won't be removed despite the accusations.","Mr. Riing Charles, the accused Nilepet Cashier [Photo via Facebook]JUBA – Nile Petroleum Corporation (Nilepet) cashier Ring Charles who is accused of squandering Nilepet staff’s allowances for the last few months has allegedly threatened to take actions against staff members leaking out information to the media and said he won’t be removed despite the accusations.","August 4, 2021"
"46","Tensions loom at Nilepet as cashier is accused of corruption","https://www.sudanspost.com/tensions-looms-at-nilepet-as-cashier-is-accused-of-corruption/","Multiple sources have disclosed that there are looming tensions at the Nile Petroleum Corporation (Nilepet) after the government institution’s most senior cashier is set to exit his job there due to corruption allegations.","JUBA — Multiple sources have disclosed that there are looming tensions at the Nile Petroleum Corporation (Nilepet) after the government institution’s most senior cashier is set to exit his job there due to corruption allegations.","August 3, 2021"
"47","EXCLUSIVE | Gen. Gatwech Dual sent Gen. Gatjiath to meet Akol Koor in Juba to harm Machar","https://www.sudanspost.com/exclusive-gen-gatwech-dual-sent-gen-gatjiath-to-meet-akol-koor-in-juba-to-harm-machar/","""What he (General Akol Koor) told me is that the government only has problem with [Riek Machar], they don't have any issue with [General Gatwech Dual] and what they said is that let General Simon Gatwech Dual remove [Riek Machar] and declare himself as the leader of the SPLM-IO and they will remove Riek Machar who will not have legitimate reason to continue as First Vice President because he would not be the SPLM-IO chairman by then,"" General Gatjiath Deng said of what was told him by General Akol Koor.","SPLA-IO military chief General Simon Gatwech Dual (behind) and SPLA-IO spokesman General William Gatjiath Deng. [Photo via Facebook]JUBA – SPLA-IO’s military chief, General Simon Gatwech Dual, had sent SPLA-IO spokesman General William Gatjiath Deng to Juba to meet South Sudan’s spy chief General Akol Koor Kuc to conspire against, and possibly harm FVP Dr. Riek Machar, in a secret encounter possibly organized by President Salva Kiir Mayardit to jeopardize the implementation of the revitalized peace agreement.","July 12, 2021"
