Country,Name (hull number),Length,Tonnage,Class,Propulsion,Type,Classification,Commissioned
Spain,Juan Carlos I (L-61),231 m (758 ft),"26,000 t",Juan Carlos I,Conventional,STOVL,LHD,30-Sep-10
Thailand,Chakri Naruebet (911),183 m (600 ft),"11,486 t",Principe de Asturias,Conventional,STOVL,Aircraft carrier (since 2006 used as a helicopter carrier),10-Aug-97
United Kingdom,Queen Elizabeth (R08),280 m (920 ft),"65,000 t",Queen Elizabeth,Integrated electric propulsion,STOVL,Aircraft carrier,7-Dec-17
United Kingdom,Prince of Wales (R09)[30],280 m (920 ft),"65,000 t",Queen Elizabeth,Integrated electric propulsion,STOVL,Aircraft carrier,10-Dec-19
United States,Gerald R. Ford (CVN-78)[31],"337 m (1,106 ft)","101,600 t",Gerald R. Ford,Nuclear,CATOBAR,Aircraft carrier,22-Jul-17
United States,Nimitz (CVN-68)[32][33],"333 m (1,093 ft)","101,600 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,3-May-75
United States,Dwight D. Eisenhower (CVN-69)[32][34],"333 m (1,093 ft)","103,300 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,18-Oct-77
United States,Carl Vinson (CVN-70),"333 m (1,093 ft)","102,900 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,13-Mar-82
United States,Theodore Roosevelt (CVN-71),"333 m (1,093 ft)","106,300 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,25-Oct-86
United States,Abraham Lincoln (CVN-72)[32][35],"333 m (1,093 ft)","106,000 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,11-Nov-89
United States,George Washington (CVN-73),"333 m (1,093 ft)","105,900 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,4-Jul-92
United States,John C. Stennis (CVN-74),"333 m (1,093 ft)","105,000 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,9-Dec-95
United States,Harry S. Truman (CVN-75),"333 m (1,093 ft)","105,600 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,25-Jul-98
United States,Ronald Reagan (CVN-76),"333 m (1,093 ft)","103,000 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,12-Jul-03
United States,George H.W. Bush (CVN-77),"333 m (1,093 ft)","103,600 t",Nimitz,Nuclear,CATOBAR,Aircraft carrier,10-Jan-09
United States,America (LHA-6),257 m (843 ft),"45,000 t",America[24],Conventional,STOVL,LHA,11 October 2014[36]
United States,Tripoli (LHA-7),257 m (843 ft),"45,000 t",America,Conventional,STOVL,LHA,15-Jul-20
United States,Wasp (LHD-1),257 m (843 ft),"40,532 t",Wasp[24],Conventional,STOVL,LHD,29-Jul-89
United States,Essex (LHD-2),257.25 m (844.0 ft),"40,650 t",Wasp,Conventional,STOVL,LHD,17-Oct-92
United States,Kearsarge (LHD-3),257 m (843 ft),"40,500 t",Wasp,Conventional,STOVL,LHD,16-Oct-93
United States,Boxer (LHD-4),257 m (843 ft),"40,722 t",Wasp,Conventional,STOVL,LHD,11-Feb-95
United States,Bataan (LHD-5),257 m (843 ft),"40,358 t",Wasp,Conventional,STOVL,LHD,20-Sep-97
United States,Iwo Jima (LHD-7),257 m (843 ft),"40,530 t",Wasp,Conventional,STOVL,LHD,30-Jun-01
United States,Makin Island (LHD-8),257 m (843 ft),"41,649 t",Wasp,Conventional,STOVL,LHD,24-Oct-09
